,australian,austrian,belgian,brazilian,canadian,chilean,chinese,colombian,cuban,czech,danish,dutch,egyptian,english,ethiopian,filipino,finnish,french,georgian,german,greek,hungarian,indian,indonesian,iranian-persian,iraqi,italian,japanese,korean,laotian,lebanese,libyan,malaysian,mexican,moroccan,new-zealand,northeastern-united-states,norwegian,pakistani,palestinian,peruvian,polish,portuguese,puerto-rican,russian,saudi-arabian,scottish,south-african,southern-united-states,southwestern-united-states,spanish,swedish,swiss,thai,turkish,venezuelan,vietnamese,welsh
northeastern-united-states,0.8233788720790242,0.9079322821856852,0.885816836,0.8370312107598787,0.9728858388627049,0.7356195305937531,0.5289176234184757,0.7516986749292952,0.6717996865801583,0.899805629,0.9217638342740291,0.9312701024625712,0.7409276134127845,0.944857007,0.6342906698585035,0.6963326,0.9173093208510191,0.9034295989102743,0.6816043224904386,0.9537768992270464,0.7005804120291007,0.8191985677559325,0.654562038,0.6710213643132419,0.7453523520312949,0.7090543321595948,0.7253581862478089,0.5445522349524476,0.4124088011953732,0.42301420301677967,0.6986690325598797,0.5643804457891031,0.566735668,0.6626037139996712,0.5960045281049473,0.8944616992728514,1,0.9147483043210677,0.5584943597605581,0.6524341368561623,0.6307499798508825,0.9143272140339681,0.7818255237932394,0.6611111051348154,0.899059002,0.663045881,0.8925959770729096,0.8975158450135238,0.9524158602964757,0.7191542628026645,0.6855838813232473,0.9351196481629092,0.9034035950318213,0.44326015013340714,0.7798582558378694,0.7459051502809296,0.4781718731596641,0.8334170904754304
norwegian,0.7260195403438268,0.9191640126316895,0.8363805589497252,0.7290169451613054,0.8775634298390169,0.5773293716347845,0.44041713644853725,0.6444576388298474,0.501929518,0.930516235,0.9608775196697875,0.9322945029862177,0.5839884446706677,0.9067247433404718,0.47713428733479185,0.5629885684503051,0.9484563801103949,0.8208019385583689,0.6419827123053145,0.9180626795551787,0.5713030405776545,0.7317932033708724,0.5117700493996825,0.5338135986206202,0.6109084355934399,0.5642904476032914,0.5719031955844948,0.4904351353392365,0.3358263267553664,0.33043906930241007,0.5415496848781421,0.4056916321648332,0.44739086931944805,0.5081122468913947,0.4256192759015533,0.9051078428589824,0.9147483043210677,1,0.4411632723853643,0.515690908,0.474373278,0.8744640484669358,0.6360496548627312,0.5133970959538825,0.8335756569068996,0.5456095797777587,0.9099503614706101,0.8441842065991445,0.8324664471522876,0.5558945087098377,0.5190947611934392,0.9645736879911092,0.8578722807658425,0.33598447815899973,0.6533390335223179,0.6269816974063701,0.4016260972051175,0.837905448
pakistani,0.5046073422792969,0.5008626454359472,0.519114915,0.6369337076273023,0.5751630519164529,0.6338382835423284,0.4550567584473902,0.6528993753548864,0.595766889,0.49919303489257943,0.4759964460826354,0.5058090606675983,0.7122788975528844,0.5055009290699346,0.661328783,0.6087076409567587,0.4925664957506022,0.5415258858765128,0.47139150894065174,0.562176026,0.5051475853231592,0.6049553343332629,0.9115344356519994,0.7000070716119554,0.7069989361686801,0.7055120489849296,0.49540012774155795,0.39427981057002065,0.3372556266229072,0.4656381725443991,0.6601140803889104,0.5768704066542479,0.6665704703251225,0.6339962222382075,0.5876017188544639,0.44602173810027695,0.5584943597605581,0.4411632723853643,1,0.6122793624091339,0.6236354792957922,0.5715516916502836,0.6202169951886906,0.5786633018107441,0.5964903660026281,0.6512391307079589,0.4280781378209377,0.6673317580981717,0.5949932742539471,0.6438760302856691,0.5632027998095832,0.4916635122662106,0.5275979300789826,0.44088496175405617,0.6483338669156321,0.6384713348753444,0.4474234440734706,0.41274552152499133
palestinian,0.645815538,0.537948197,0.587777046,0.7551848158967126,0.6750292424713652,0.7536814959227359,0.43604120677660824,0.7174982346578709,0.7555503274011829,0.5223814028565872,0.5319498997747301,0.5305295008552384,0.8297617078417957,0.5904848077331375,0.6773161990732066,0.5939585549054854,0.5381676600722053,0.7129313553193958,0.5275451870337615,0.6149612314650297,0.7953038690121488,0.6424563481948751,0.6905492068325377,0.6400651089620454,0.7800828713761807,0.7633274824565751,0.7123979242540153,0.4290401225794198,0.3546712372768857,0.43349113609426093,0.9161975795790113,0.8044048756322453,0.569987642,0.6583226847817834,0.778242732,0.5195264646134157,0.6524341368561623,0.515690908,0.6122793624091339,1,0.7520342912258091,0.588890389,0.8294838554365725,0.7479507399426487,0.658674845,0.7559223054141339,0.4789271228655282,0.661439919,0.6744586918990279,0.6711116352457841,0.7956548608465847,0.5386511965763453,0.5910734227137968,0.4234525932785519,0.8719538695264343,0.6806397333840086,0.45502703459140803,0.45108654981043617
peruvian,0.6640901407452917,0.5128519968542765,0.5855395548313623,0.7783486653984201,0.6613304134200904,0.835419832,0.5179327558353852,0.7868688350757499,0.7972888462810401,0.506851486,0.47641610055851974,0.508725949,0.7860345766551846,0.5796099601064663,0.692952993,0.6632301768933603,0.4889338191821109,0.6866375296817512,0.5340601365774134,0.5937833115787591,0.7389896114897632,0.6540382232417737,0.7257736318463763,0.7011313517521748,0.7196161334831733,0.7224854254839586,0.6986545943200685,0.48375119867027383,0.4331569324428364,0.4912208966421223,0.7976594865133918,0.7061818986943127,0.6315233746063816,0.7733834174621067,0.7725685600627685,0.5024325158037004,0.6307499798508825,0.474373278,0.6236354792957922,0.7520342912258091,1,0.5817218568592748,0.7996053344684807,0.7503717077406659,0.66217346,0.6615862261777365,0.4456846983972305,0.6334230481743358,0.6682891541271484,0.7802473803347969,0.7999214174026144,0.49876342406812035,0.5822875783254023,0.5672012633626511,0.7859739239714733,0.7263367844513015,0.5366458434603371,0.45953365352092884
polish,0.7509278573524997,0.8961643957130899,0.8595045764180403,0.779631075,0.8907595724011983,0.6978737765147922,0.48502446555777606,0.7237285988372276,0.6181379993977543,0.9266727041158143,0.8832803117610066,0.9088476660164443,0.7174112016996843,0.8743939755722353,0.5992653679365371,0.7006960687493557,0.8822737608732318,0.8362389429175925,0.6659367461221897,0.9525520652758568,0.6260534511331447,0.879324269,0.6437773639381503,0.6421683181513332,0.7324794861146477,0.6992908352893061,0.641188678,0.5084699211530321,0.37916584083738347,0.4076896391685173,0.6419847455970741,0.5156220167401248,0.5477809926248663,0.6539173575302283,0.5216098742392374,0.830445604,0.9143272140339681,0.8744640484669358,0.5715516916502836,0.588890389,0.5817218568592748,1,0.7236977823195626,0.6058490192095732,0.9256304224196817,0.6314079964117768,0.8452732346038897,0.8484413409156117,0.882423461,0.6873263871434793,0.6161513547516532,0.905022464,0.8689788739350187,0.3968915809123092,0.7261611418693169,0.7243243375709683,0.44120782716700774,0.7951196863466242
portuguese,0.7917437408968782,0.6784850967366416,0.7422821207204849,0.8761198304115309,0.798609047,0.8621076497448382,0.49869329172565396,0.7789205831936015,0.861536947,0.6618187737949912,0.6556068317404511,0.6663004785247478,0.8652310290992583,0.7515664136076937,0.7359784167424966,0.697744894,0.6590539684357714,0.8678351199199028,0.6094664909861299,0.7537058833657495,0.8425971747720459,0.7854127675439099,0.7173646262984493,0.7120778353712436,0.802937253,0.796968883,0.8438185825169736,0.4744541124582879,0.41421932019443447,0.47361833557027344,0.8781892213204623,0.7704001578542404,0.6301296482932517,0.7264674935209426,0.8090198984702192,0.6565789183420407,0.7818255237932394,0.6360496548627312,0.6202169951886906,0.8294838554365725,0.7996053344684807,0.7236977823195626,1,0.8160178394732662,0.7847063961696693,0.7487906268027248,0.624894445,0.7636253344379541,0.8013026234481931,0.7542396315548519,0.9367409451612562,0.6720575441021849,0.7466754622112686,0.497610645,0.896247423,0.7775229375514491,0.5082907414065181,0.6014930267410926
puerto-rican,0.6611351602483538,0.5454433263213107,0.5908791875064554,0.7955283721194374,0.6714958450078141,0.7833327787560252,0.4894087443930747,0.7453614672051868,0.8583272500675967,0.5412526187159727,0.5348049186477455,0.5395690916804385,0.7808908708008809,0.6031568507629118,0.6559793290195278,0.6749540611653065,0.5312082370429683,0.7024964531197533,0.5128536555089486,0.6219465967137253,0.7485787286688463,0.6594356319435348,0.6704442484544388,0.664398843,0.7055873287629492,0.7246449165536677,0.7353777006364491,0.45635561671005803,0.3990267263433184,0.4745485661704002,0.7731083412058182,0.7157773469547949,0.6182058190871805,0.7192493722345353,0.7186295837804842,0.5479004326872388,0.6611111051348154,0.5133970959538825,0.5786633018107441,0.7479507399426487,0.7503717077406659,0.6058490192095732,0.8160178394732662,1,0.6581695531603751,0.6849180734898433,0.49356904634363574,0.6657953150877698,0.6972262614195337,0.7323012085254601,0.7918914006227248,0.541815385,0.5905559003409615,0.5008734207541689,0.7618196763201035,0.7079035679077504,0.4990167816274152,0.44391911023281105
russian,0.7820626419308345,0.8565571781993961,0.831412381,0.815966565,0.8913838024653212,0.7669918011649235,0.5149261390353862,0.750146592,0.6841055432472368,0.856544722,0.8328332688234341,0.8434722216189485,0.761148605,0.8653845208218067,0.6451898832479724,0.7088095792188005,0.852646592,0.8566150077857042,0.6851852246583328,0.9119223140802105,0.6946744622390086,0.8974274482026796,0.6823446606483125,0.6797155602264499,0.7680247821847109,0.7324960641463475,0.6992180483084834,0.5357813846668473,0.422900362,0.4441045081581119,0.7176560104810035,0.5768128933930695,0.5810203870119122,0.7089172193187803,0.6059540557406146,0.7892328337084853,0.899059002,0.8335756569068996,0.5964903660026281,0.658674845,0.66217346,0.9256304224196817,0.7847063961696693,0.6581695531603751,1,0.6627761967954574,0.7866956354026007,0.8432428949137523,0.8786092148122807,0.7324186647118855,0.6970909834506789,0.8585923041815274,0.8478091674229898,0.45106665967635645,0.7815450791189568,0.7473086057291107,0.4984729484818608,0.751840352
saudi-arabian,0.6652978208045358,0.5653316223734328,0.5801163518350713,0.7579574188957068,0.6649279004059796,0.7214124784103139,0.4697191865124015,0.710604589,0.6810246108874674,0.5715493414040328,0.5912536096967526,0.5906888674786391,0.8161444535587443,0.640711258,0.7219969285442298,0.6676593695710901,0.6020300486201108,0.6759979822151494,0.4966843548065336,0.6442839480177087,0.6690129655545574,0.6454578555323902,0.7475879977984847,0.6682193656905215,0.8150320545289803,0.8440447753780049,0.622947406,0.4614486276823007,0.3848514341505028,0.4814765534808512,0.7681818234367241,0.7324575439957242,0.6615901070687735,0.6322169699202332,0.7288323890771705,0.5805544691948752,0.663045881,0.5456095797777587,0.6512391307079589,0.7559223054141339,0.6615862261777365,0.6314079964117768,0.7487906268027248,0.6849180734898433,0.6627761967954574,1,0.5322516683990108,0.7252650297706386,0.6672353588471948,0.6349355999570152,0.6931140703009362,0.5936980823619635,0.6115370483988448,0.4529813531284528,0.7801739788293327,0.679301196,0.49969469991329124,0.4789768760851134
